trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
83,False,"{'a': 0.002, 'e': 0.8487420218802068}",20,0,-19.628435938268023,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
84,False,"{'a': 0.002, 'e': 0.8470462341893996}",20,0,-94.5883604657339,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
85,False,"{'a': 0.002, 'e': 0.8453538346846587}",20,7,-72.22660637330401,"{0: 7, 1: 3, 2: 1, 3: 1, 4: 1}",1
86,False,"{'a': 0.002, 'e': 0.8436648165963837}",20,0,-147.015932588119,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
87,False,"{'a': 0.002, 'e': 0.8419791731684999}",30,4,-191.22322618400622,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 3}",1
88,False,"{'a': 0.002, 'e': 0.8402968976584314}",30,17,-59.79367414306823,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 1}",1
89,False,"{'a': 0.002, 'e': 0.838617983337074}",20,13,-36.70715338973572,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 1}",1
90,False,"{'a': 0.002, 'e': 0.8369424234887681}",25,11,-118.00877128733258,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 3}",1
91,False,"{'a': 0.002, 'e': 0.835270211411272}",25,0,-87.84386122005357,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
92,False,"{'a': 0.002, 'e': 0.8336013404157353}",35,13,-112.03110804645209,"{0: 11, 1: 4, 2: 5, 3: 1, 4: 1}",1
93,False,"{'a': 0.002, 'e': 0.8319358038266718}",20,0,-103.84902399906149,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
94,False,"{'a': 0.002, 'e': 0.8302735949819326}",25,0,-164.16059154778597,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
95,False,"{'a': 0.002, 'e': 0.8286147072326806}",20,10,-32.783126225354486,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
96,False,"{'a': 0.002, 'e': 0.8269591339433623}",25,0,-70.62075662756504,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",1
97,False,"{'a': 0.002, 'e': 0.8253068684916823}",25,0,-102.81791649315808,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
98,False,"{'a': 0.002, 'e': 0.8236579042685769}",20,0,-146.75278861192217,"{0: 10, 1: 4, 2: 2, 3: 2, 4: 2}",0
99,False,"{'a': 0.002, 'e': 0.8220122346781865}",20,0,-31.140107546085463,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
100,False,"{'a': 0.002, 'e': 0.8203698531378311}",20,0,-189.83744115824692,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
101,False,"{'a': 0.002, 'e': 0.8187307530779818}",20,0,-85.422884366904,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
102,False,"{'a': 0.002, 'e': 0.8170949279422366}",20,0,-83.87566189396864,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
